,clearances_per_game,dribbled_past_per_game,fouls_per_game,interceptions_per_game,offsides_won_per_game,outfielder_blocks_per_game,own_goals,player_number,tackles_per_game,Team,Year_end,Year_start
6,2.7,0.7,0.3,0.0,0.0,0.0,0.0,836,2.0,Manchester City,2011,2010
7,3.0,0.6,0.7,1.0,0.1,0.2,0.0,12267,1.7,Manchester City,2011,2010
8,0.5,0.4,0.7,1.0,0.0,0.1,0.0,14102,1.6,Manchester City,2011,2010
9,0.6,0.6,0.8,1.3,0.0,0.2,0.0,4511,1.6,Manchester City,2011,2010
10,4.4,0.6,0.9,1.1,0.1,0.4,0.0,14168,1.6,Manchester City,2011,2010
11,6.0,0.2,0.6,1.3,0.6,0.6,0.0,8137,1.4,Manchester City,2011,2010
12,0.8,0.7,1.2,1.1,0.0,0.1,0.0,14053,1.4,Manchester City,2011,2010
13,2.0,0.6,0.6,1.0,0.1,0.1,0.0,83032,1.3,Manchester City,2011,2010
14,1.1,0.3,0.8,0.5,0.0,0.0,0.0,341,1.1,Manchester City,2011,2010
15,0.5,0.2,1.9,0.6,0.0,0.1,0.0,33799,1.0,Manchester City,2011,2010
16,0.0,0.5,1.4,0.8,0.0,0.1,0.0,14167,1.0,Manchester City,2011,2010
