,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Wins,Estimated_Draws,Estimated_Loses,Estimated_Points_Extended,Delta_Points_Extended
218,Bayer Leverkusen,2017,2018,34,15,10,9,58,44,55,18.0,7.0,9.0,60.0,-5.0
219,RasenBallsport Leipzig,2017,2018,34,15,8,11,57,53,53,17.0,6.0,11.0,57.0,-4.0
220,VfB Stuttgart,2017,2018,34,15,6,13,36,36,51,16.0,9.0,9.0,58.0,-7.0
221,Eintracht Frankfurt,2017,2018,34,14,7,13,45,45,49,16.0,8.0,10.0,57.0,-8.0
222,Borussia M.Gladbach,2017,2018,34,13,8,13,47,52,47,16.0,7.0,11.0,54.0,-7.0
223,Hertha Berlin,2017,2018,34,10,13,11,43,46,43,16.0,8.0,10.0,56.0,-13.0
224,Werder Bremen,2017,2018,34,10,12,12,37,40,42,16.0,9.0,9.0,56.0,-14.0
225,Augsburg,2017,2018,34,10,11,13,43,46,41,16.0,8.0,10.0,56.0,-15.0
226,Hannover 96,2017,2018,34,10,9,15,44,54,39,15.0,7.0,12.0,53.0,-14.0
227,Mainz 05,2017,2018,34,9,9,16,38,52,36,14.0,8.0,12.0,51.0,-15.0
228,Freiburg,2017,2018,34,8,12,14,32,56,36,13.0,8.0,13.0,48.0,-12.0
229,Wolfsburg,2017,2018,34,6,15,13,36,48,33,15.0,8.0,11.0,52.0,-19.0
230,Hamburger SV,2017,2018,34,8,7,19,29,53,31,13.0,9.0,12.0,47.0,-16.0
231,FC Cologne,2017,2018,34,5,7,22,35,70,22,12.0,7.0,15.0,45.0,-23.0
232,Bayern Munich,2018,2019,34,24,6,4,88,32,78,22.0,6.0,6.0,72.0,6.0
233,Borussia Dortmund,2018,2019,34,23,7,4,81,44,76,20.0,6.0,8.0,65.0,11.0
234,RasenBallsport Leipzig,2018,2019,34,19,9,6,63,29,66,20.0,8.0,6.0,70.0,-4.0
235,Bayer Leverkusen,2018,2019,34,18,4,12,69,52,58,18.0,6.0,10.0,60.0,-2.0
236,Borussia M.Gladbach,2018,2019,34,16,7,11,55,42,55,18.0,7.0,9.0,61.0,-6.0
237,Wolfsburg,2018,2019,34,16,7,11,62,50,55,17.0,6.0,11.0,59.0,-4.0
238,Eintracht Frankfurt,2018,2019,34,15,9,10,60,48,54,17.0,7.0,10.0,59.0,-5.0
239,Werder Bremen,2018,2019,34,14,11,9,58,49,53,17.0,7.0,10.0,59.0,-6.0
240,Hoffenheim,2018,2019,34,13,12,9,70,52,51,18.0,6.0,10.0,60.0,-9.0
241,Fortuna Duesseldorf,2018,2019,34,13,5,16,49,65,44,14.0,6.0,14.0,50.0,-6.0
242,Hertha Berlin,2018,2019,34,11,10,13,49,57,43,15.0,7.0,12.0,53.0,-10.0
243,Mainz 05,2018,2019,34,12,7,15,46,57,43,15.0,7.0,12.0,52.0,-9.0
244,Freiburg,2018,2019,34,8,12,14,46,61,36,15.0,7.0,12.0,51.0,-15.0
245,Schalke 04,2018,2019,34,8,9,17,37,55,33,14.0,8.0,12.0,50.0,-17.0
246,Augsburg,2018,2019,34,8,8,18,51,71,32,14.0,6.0,14.0,50.0,-18.0
247,VfB Stuttgart,2018,2019,34,7,7,20,32,70,28,12.0,7.0,15.0,44.0,-16.0
248,Hannover 96,2018,2019,34,5,6,23,31,71,21,12.0,7.0,15.0,43.0,-22.0
249,Nuernberg,2018,2019,34,3,10,21,26,68,19,11.0,8.0,15.0,41.0,-22.0
250,Bayern Munich,2019,2020,34,26,4,4,100,32,82,22.0,6.0,6.0,73.0,9.0
251,Borussia Dortmund,2019,2020,34,21,6,7,84,41,69,20.0,6.0,8.0,67.0,2.0
252,RasenBallsport Leipzig,2019,2020,34,18,12,4,81,37,66,21.0,6.0,7.0,69.0,-3.0
253,Borussia M.Gladbach,2019,2020,34,20,5,9,66,40,65,19.0,7.0,8.0,64.0,1.0
254,Bayer Leverkusen,2019,2020,34,19,6,9,61,44,63,18.0,7.0,9.0,61.0,2.0
255,Hoffenheim,2019,2020,34,15,7,12,53,53,52,16.0,7.0,11.0,56.0,-4.0
256,Wolfsburg,2019,2020,34,13,10,11,48,46,49,16.0,7.0,11.0,57.0,-8.0
257,Freiburg,2019,2020,34,13,9,12,48,47,48,16.0,7.0,11.0,57.0,-9.0
258,Eintracht Frankfurt,2019,2020,34,13,6,15,59,60,45,16.0,6.0,12.0,55.0,-10.0
259,Hertha Berlin,2019,2020,34,11,8,15,48,59,41,15.0,7.0,12.0,52.0,-11.0
260,Union Berlin,2019,2020,34,12,5,17,41,58,41,14.0,7.0,13.0,50.0,-9.0
261,Schalke 04,2019,2020,34,9,12,13,38,58,39,14.0,7.0,13.0,49.0,-10.0
262,Mainz 05,2019,2020,34,11,4,19,44,65,37,14.0,6.0,14.0,49.0,-12.0
263,Augsburg,2019,2020,34,9,9,16,45,63,36,14.0,7.0,13.0,50.0,-14.0
264,FC Cologne,2019,2020,34,10,6,18,51,69,36,14.0,6.0,14.0,50.0,-14.0
265,Werder Bremen,2019,2020,34,8,7,19,42,69,31,13.0,6.0,15.0,47.0,-16.0
266,Fortuna Duesseldorf,2019,2020,34,6,12,16,36,67,30,13.0,7.0,14.0,46.0,-16.0
