,Year_end,Year_start,D,DC,G,GA,L,M,NPxG,NPxGA,NPxGD,ODC,OPPDA,PPDA,PTS,W,xG,xGA,Team,League
4,2015,2014,9,281,70,54,11,38,57.54,32.85,24.69,137,12.16,8.46,63,18,64.5,34.37,Napoli,serie a
5,2015,2014,11,250,62,47,11,38,51.99,54.16,-2.16,199,7.03,7.68,59,16,57.32,60.37,Genoa,serie a
6,2015,2014,17,209,48,42,8,38,46.06,43.04,3.02,246,7.89,8.1,56,13,47.59,48.37,Sampdoria,serie a
7,2015,2014,13,297,59,48,11,38,51.84,39.73,12.11,171,12.18,6.18,55,14,57.17,44.32,Inter,serie a
8,2015,2014,12,223,48,45,12,38,47.08,36.57,10.51,217,9.13,12.83,54,14,51.78,42.69,Torino,serie a
9,2015,2014,13,164,56,50,12,38,38.7,49.42,-10.72,263,9.35,9.47,52,13,47.07,53.99,AC Milan,serie a
10,2015,2014,13,172,53,55,13,38,49.62,40.21,9.41,216,8.08,9.42,49,12,54.97,44.01,Palermo,serie a
11,2015,2014,13,190,49,57,13,38,36.06,51.38,-15.32,237,7.62,8.55,49,12,42.91,55.19,Sassuolo,serie a
12,2015,2014,13,190,49,65,14,38,42.29,57.18,-14.9,314,7.54,11.63,46,11,46.88,63.41,Verona,serie a
13,2015,2014,13,173,28,41,15,38,31.49,45.94,-14.45,247,6.23,9.19,43,10,33.01,48.99,Chievo,serie a
14,2015,2014,18,236,46,52,12,38,47.38,41.9,5.48,233,9.09,8.82,42,8,49.66,43.42,Empoli,serie a
15,2015,2014,11,171,43,56,17,38,34.1,47.9,-13.8,304,7.71,11.36,41,10,34.86,54.75,Udinese,serie a
16,2015,2014,16,189,38,57,15,38,37.13,52.52,-15.39,277,7.49,9.4,37,7,40.94,59.4,Atalanta,serie a
17,2015,2014,10,259,48,68,20,38,48.32,51.12,-2.8,240,7.89,9.9,34,8,53.92,54.17,Cagliari,serie a
18,2015,2014,8,212,33,75,24,38,30.24,56.17,-25.93,269,8.62,11.91,26,6,31.77,60.74,Parma,serie a
19,2015,2014,12,168,36,73,22,38,30.05,55.33,-25.28,267,7.74,10.37,24,4,34.62,63.08,Cesena,serie a
0,2016,2015,4,270,75,20,5,38,56.14,19.92,36.22,101,10.03,8.52,91,29,62.99,23.0,Juventus,serie a
1,2016,2015,7,320,80,32,6,38,63.44,22.76,40.68,142,14.98,7.81,82,25,69.53,26.69,Napoli,serie a
2,2016,2015,11,326,83,41,4,38,61.38,33.55,27.83,142,12.28,8.03,80,23,64.43,39.79,Roma,serie a
3,2016,2015,7,246,50,38,11,38,52.01,39.55,12.46,191,9.9,9.1,67,20,54.3,44.25,Inter,serie a
4,2016,2015,10,211,60,42,10,38,46.31,35.46,10.85,142,11.42,6.5600000000000005,64,18,53.19,36.22,Fiorentina,serie a
5,2016,2015,13,210,49,40,9,38,41.99,38.99,3.01,190,7.71,7.55,61,16,47.32,42.93,Sassuolo,serie a
6,2016,2015,12,232,49,43,11,38,48.54,37.1,11.44,183,8.54,7.46,57,15,53.91,40.91,AC Milan,serie a
7,2016,2015,9,231,52,52,14,38,46.7,37.48,9.22,166,9.36,7.37,54,15,55.21,43.58,Lazio,serie a
8,2016,2015,11,165,43,45,14,38,34.5,47.91,-13.41,255,8.71,8.81,50,13,40.59,51.09,Chievo,serie a
9,2016,2015,7,201,45,48,18,38,42.24,47.11,-4.87,240,7.31,7.72,46,13,45.29,48.63,Genoa,serie a
10,2016,2015,10,208,40,49,16,38,36.32,45.99,-9.67,188,8.06,8.24,46,12,37.84,47.51,Empoli,serie a
11,2016,2015,9,212,52,55,17,38,41.05,35.96,5.08,182,9.27,10.71,45,12,49.42,41.29,Torino,serie a
12,2016,2015,12,176,41,47,15,38,39.85,44.56,-4.71,223,7.93,8.02,45,11,46.08,51.41,Atalanta,serie a
13,2016,2015,9,177,33,45,18,38,33.19,44.99,-11.8,191,8.5,10.27,42,11,35.48,51.84,Bologna,serie a
14,2016,2015,10,180,48,61,18,38,38.24,58.58,-20.34,264,8.53,9.26,40,10,40.53,66.19,Sampdoria,serie a
15,2016,2015,9,165,35,60,19,38,43.14,45.33,-2.19,242,7.52,10.63,39,10,46.31,51.42,Udinese,serie a
16,2016,2015,9,153,38,65,19,38,35.79,57.28,-21.49,287,6.29,10.96,39,10,36.55,61.84,Palermo,serie a
17,2016,2015,11,151,37,57,18,38,36.37,46.47,-10.1,237,5.88,9.96,38,9,43.37,51.8,Carpi,serie a
18,2016,2015,7,131,35,76,23,38,31.56,67.35,-35.79,312,5.61,8.57,31,8,33.84,74.23,Frosinone,serie a
19,2016,2015,13,179,34,63,20,38,34.71,57.14,-22.43,266,7.55,10.41,28,5,40.17,61.71,Verona,serie a
0,2017,2016,4,302,77,27,5,38,66.45,22.84,43.62,117,12.37,9.08,91,29,68.74,23.6,Juventus,serie a
1,2017,2016,3,354,90,38,7,38,72.34,38.03,34.31,201,12.29,8.17,87,28,83.0,41.08,Roma,serie a
2,2017,2016,8,309,94,39,4,38,72.93,29.12,43.82,132,18.18,9.75,86,26,77.51,32.16,Napoli,serie a
3,2017,2016,9,242,62,41,8,38,56.83,31.3,25.52,181,9.22,9.14,72,21,61.39,34.35,Atalanta,serie a
4,2017,2016,7,312,74,51,10,38,54.59,34.92,19.68,168,11.17,9.43,70,21,65.39,41.77,Lazio,serie a
5,2017,2016,9,244,57,45,11,38,50.54,43.22,7.32,222,11.06,8.86,63,18,59.67,50.21,AC Milan,serie a
6,2017,2016,5,277,72,49,14,38,64.95,40.21,24.75,162,11.18,7.63,62,19,68.76,44.78,Inter,serie a
7,2017,2016,12,214,63,57,10,38,47.41,48.74,-1.33,212,12.22,8.3,60,16,55.14,53.3,Fiorentina,serie a
8,2017,2016,14,229,71,66,11,38,49.63,56.39,-6.75,271,10.12,8.92,53,13,57.4,61.72,Torino,serie a
9,2017,2016,7,200,60,61,17,38,42.96,55.7,-12.74,253,7.99,10.28,49,14,50.57,61.9,Sassuolo,serie a
10,2017,2016,12,182,49,55,14,38,40.08,50.68,-10.6,230,10.29,8.18,48,12,46.17,56.86,Sampdoria,serie a
11,2017,2016,5,177,55,76,19,38,37.85,59.12,-21.27,267,7.73,11.22,47,14,42.42,68.32,Cagliari,serie a
12,2017,2016,9,152,47,56,17,38,42.59,47.81,-5.22,229,7.93,13.94,45,12,44.94,54.66,Udinese,serie a
13,2017,2016,7,160,43,61,19,38,38.17,50.44,-12.27,252,9.5,12.11,43,12,42.74,55.01,Chievo,serie a
14,2017,2016,8,163,40,58,19,38,34.99,54.48,-19.49,253,9.52,11.29,41,11,36.51,58.3,Bologna,serie a
15,2017,2016,9,192,38,64,20,38,42.91,45.02,-2.11,206,9.79,9.97,36,9,45.2,51.25,Genoa,serie a
16,2017,2016,7,130,34,58,22,38,30.36,53.62,-23.25,227,6.35,13.17,34,9,34.17,61.23,Crotone,serie a
17,2017,2016,8,182,29,61,22,38,30.44,60.14,-29.71,278,8.16,9.59,32,8,35.09,67.01,Empoli,serie a
18,2017,2016,8,112,33,77,24,38,28.15,56.37,-28.22,252,8.68,12.21,26,6,28.92,60.94,Palermo,serie a
19,2017,2016,9,241,35,83,27,38,37.79,63.84,-26.05,261,8.45,11.32,15,2,43.12,68.41,Pescara,serie a
0,2018,2017,5,260,86,24,3,38,53.14,25.53,27.61,136,13.77,10.68,95,30,59.23,28.58,Juventus,serie a
1,2018,2017,7,358,77,29,3,38,64.18,23.74,40.44,100,21.77,9.54,91,28,70.45,25.27,Napoli,serie a
2,2018,2017,8,311,61,28,7,38,61.06,34.52,26.54,165,12.57,8.57,77,23,65.63,38.46,Roma,serie a
3,2018,2017,9,307,89,49,8,38,58.13,34.96,23.18,198,11.69,10.99,72,21,66.51,42.57,Lazio,serie a
4,2018,2017,12,307,66,30,6,38,55.51,35.81,19.7,178,14.37,9.65,72,20,60.83,37.33,Inter,serie a
5,2018,2017,10,258,56,42,10,38,46.31,34.49,11.81,185,14.31,10.69,64,18,50.88,36.78,AC Milan,serie a
6,2018,2017,12,347,57,39,10,38,57.44,34.98,22.46,179,11.05,8.62,60,16,64.29,36.5,Atalanta,serie a
7,2018,2017,9,239,54,46,13,38,48.03,39.87,8.16,196,11.93,8.37,57,16,54.12,42.15,Fiorentina,serie a
8,2018,2017,15,214,54,46,10,38,45.05,43.02,2.03,225,9.65,9.7,54,13,46.59,49.11,Torino,serie a
9,2018,2017,6,270,56,60,16,38,47.05,54.48,-7.44,237,12.78,9.71,54,16,53.14,62.26,Sampdoria,serie a
10,2018,2017,10,168,29,59,17,38,39.54,48.35,-8.81,231,8.05,12.12,43,11,47.15,50.63,Sassuolo,serie a
11,2018,2017,8,226,33,43,19,38,38.4,39.83,-1.42,219,9.87,13.45,41,11,42.21,42.87,Genoa,serie a
12,2018,2017,4,171,48,63,22,38,39.84,45.89,-6.05,242,10.2,12.58,40,12,45.17,50.63,Udinese,serie a
13,2018,2017,10,188,36,59,18,38,32.82,49.9,-17.08,280,10.42,12.62,40,10,34.34,55.26,Chievo,serie a
14,2018,2017,6,180,40,52,21,38,33.83,45.75,-11.92,290,9.58,12.9,39,11,36.11,48.8,Bologna,serie a
15,2018,2017,6,198,33,61,21,38,32.94,48.78,-15.83,287,9.56,11.64,39,11,38.27,57.91,Cagliari,serie a
16,2018,2017,14,151,39,59,16,38,29.91,51.04,-21.13,291,8.09,13.46,38,8,34.61,60.18,SPAL 2013,serie a
17,2018,2017,8,150,40,66,21,38,30.79,53.34,-22.55,299,7.66,12.92,35,9,33.24,59.43,Crotone,serie a
18,2018,2017,4,134,30,78,27,38,28.43,66.62,-38.19,364,8.26,12.77,25,7,33.76,72.71,Verona,serie a
19,2018,2017,3,144,33,84,29,38,35.93,67.42,-31.49,279,9.17,13.07,21,6,38.21,77.31,Benevento,serie a
0,2019,2018,6,290,70,30,4,38,58.44,31.99,26.45,158,13.03,9.77,90,28,64.53,35.03,Juventus,serie a
1,2019,2018,7,344,74,36,7,38,65.19,33.46,31.74,181,16.17,10.38,79,24,68.24,36.5,Napoli,serie a
2,2019,2018,9,367,77,46,9,38,71.38,38.04,33.34,164,12.62,8.56,69,20,74.43,41.85,Atalanta,serie a
3,2019,2018,9,311,57,33,9,38,59.62,34.59,25.03,192,15.44,8.93,69,20,66.47,38.4,Inter,serie a
4,2019,2018,11,255,55,36,8,38,49.12,37.9,11.22,194,12.41,11.17,68,19,52.16,41.7,AC Milan,serie a
5,2019,2018,12,296,66,48,8,38,63.83,47.46,16.36,219,11.9,11.72,66,18,68.39,52.79,Roma,serie a
6,2019,2018,15,219,52,37,7,38,41.9,45.14,-3.23,215,8.34,7.11,63,16,46.47,48.94,Torino,serie a
7,2019,2018,8,337,56,46,13,38,56.7,41.87,14.83,196,12.01,10.92,59,17,61.27,46.45,Lazio,serie a
8,2019,2018,8,290,60,51,15,38,44.06,48.05,-3.99,215,11.51,9.14,53,15,53.19,54.27,Sampdoria,serie a
9,2019,2018,11,200,48,56,16,38,44.29,48.01,-3.72,238,8.44,11.33,44,11,48.1,51.06,Bologna,serie a
10,2019,2018,16,191,53,60,13,38,45.95,55.02,-9.07,220,10.47,10.7,43,9,49.75,61.11,Sassuolo,serie a
11,2019,2018,10,166,39,53,17,38,36.22,55.38,-19.16,290,7.87,12.77,43,11,42.49,62.23,Udinese,serie a
12,2019,2018,9,139,44,56,18,38,37.19,50.2,-13.01,288,9.38,11.09,42,11,43.28,54.01,SPAL 2013,serie a
13,2019,2018,17,211,47,45,13,38,49.56,39.51,10.04,194,9.66,9.01,41,8,54.12,44.08,Fiorentina,serie a
14,2019,2018,11,196,36,54,17,38,38.66,56.13,-17.47,292,12.03,9.88,41,10,40.94,63.74,Cagliari,serie a
15,2019,2018,11,128,41,61,17,38,37.29,58.89,-21.6,346,7.52,15.52,41,10,41.1,64.98,Parma Calcio 1913,serie a
16,2019,2018,14,235,39,57,16,38,40.73,51.79,-11.05,255,8.2,11.03,38,8,44.54,56.35,Genoa,serie a
17,2019,2018,8,292,51,70,20,38,46.6,57.24,-10.64,265,10.55,13.03,38,10,52.06,63.33,Empoli,serie a
18,2019,2018,10,139,29,69,23,38,32.3,60.79,-28.49,335,8.61,12.79,25,5,36.1,64.59,Frosinone,serie a
19,2019,2018,14,147,25,75,22,38,31.91,59.48,-27.57,296,10.27,12.51,20,2,36.48,62.69,Chievo,serie a
0,2020,2019,5,270,76,43,7,38,63.12,31.64,31.48,174,14.0,8.6,83,26,73.77,41.0,Juventus,serie a
1,2020,2019,10,327,81,36,4,38,65.49,36.31,29.18,192,14.73,8.71,82,24,73.95,39.36,Inter,serie a
2,2020,2019,9,369,98,48,6,38,78.53,37.16,41.37,144,12.83,7.76,78,23,86.17,41.73,Atalanta,serie a
3,2020,2019,6,345,79,42,8,38,53.72,45.48,8.24,230,12.47,12.48,78,24,67.55,52.33,Lazio,serie a
4,2020,2019,7,331,77,51,10,38,67.66,41.42,26.24,187,12.56,10.61,70,21,78.32,49.15,Roma,serie a
5,2020,2019,9,323,63,46,10,38,58.42,38.54,19.87,182,11.78,8.47,66,19,65.27,46.42,AC Milan,serie a
6,2020,2019,8,310,61,50,12,38,60.07,37.08,22.99,174,15.31,11.15,62,18,63.88,43.17,Napoli,serie a
7,2020,2019,9,279,69,63,15,38,48.85,58.22,-9.37,254,11.59,9.5,51,14,53.42,65.07,Sassuolo,serie a
8,2020,2019,13,229,51,48,13,38,45.12,41.92,3.2,189,8.6,11.59,49,12,53.49,50.3,Fiorentina,serie a
9,2020,2019,7,202,56,57,17,38,42.56,56.51,-13.96,304,8.48,11.84,49,14,47.12,64.13,Parma Calcio 1913,serie a
10,2020,2019,13,248,47,51,13,38,45.58,47.1,-1.52,295,10.02,8.94,49,12,52.49,53.95,Verona,serie a
11,2020,2019,11,222,52,65,15,38,52.85,48.7,4.15,280,9.53,7.73,47,12,57.41,54.87,Bologna,serie a
12,2020,2019,12,166,52,56,15,38,37.24,54.13,-16.89,305,8.86,12.8,45,11,41.92,60.98,Cagliari,serie a
13,2020,2019,9,212,37,51,17,38,43.69,44.76,-1.07,273,9.79,14.5,45,12,43.69,52.54,Udinese,serie a
14,2020,2019,6,205,48,65,20,38,40.46,49.36,-8.91,232,9.26,12.02,42,12,48.92,56.21,Sampdoria,serie a
15,2020,2019,7,178,46,68,20,38,37.4,55.12,-17.72,258,7.92,8.61,40,11,43.49,63.49,Torino,serie a
16,2020,2019,9,215,47,73,19,38,37.54,52.66,-15.11,308,10.16,10.38,39,10,49.89,59.51,Genoa,serie a
17,2020,2019,8,217,52,85,21,38,41.87,82.08,-40.21,362,9.65,14.35,35,9,53.47,91.97,Lecce,serie a
18,2020,2019,7,190,35,79,25,38,40.2,70.01,-29.8,375,6.9,13.82,25,6,43.25,78.38,Brescia,serie a
19,2020,2019,5,180,27,77,28,38,33.74,65.88,-32.14,300,9.7,11.72,20,5,39.07,71.97,SPAL 2013,serie a
0,2021,2020,7,359,89,35,3,38,71.41,34.98,36.44,188,16.71,11.96,91,28,78.35,40.59,Inter,serie a
1,2021,2020,7,310,74,41,7,38,59.55,45.02,14.52,236,11.72,10.01,79,24,75.05,48.84,AC Milan,serie a
2,2021,2020,9,454,90,47,6,38,76.68,33.73,42.94,162,12.76,9.05,78,23,82.01,39.94,Atalanta,serie a
3,2021,2020,9,303,77,38,6,38,75.77,31.48,44.29,201,14.5,9.1,78,23,83.53,38.33,Juventus,serie a
4,2021,2020,5,294,86,41,9,38,68.76,38.07,30.68,172,14.14,12.44,77,24,74.98,41.88,Napoli,serie a
5,2021,2020,5,308,61,55,12,38,50.96,41.23,9.73,185,12.79,10.38,68,21,58.7,48.84,Lazio,serie a
6,2021,2020,9,311,68,55,11,38,66.02,45.61,20.4,219,13.18,10.72,63,18,72.11,50.33,Roma,serie a
7,2021,2020,11,328,64,56,10,38,50.95,51.02,-0.07,274,15.22,8.79,62,17,61.61,54.82,Sassuolo,serie a
8,2021,2020,7,216,52,54,16,38,42.13,51.69,-9.56,274,10.01,11.91,52,15,46.7,58.63,Sampdoria,serie a
9,2021,2020,13,226,43,48,15,38,45.68,47.12,-1.44,252,9.32,8.55,43,10,47.97,52.45,Verona,serie a
10,2021,2020,12,146,47,58,16,38,37.67,57.35,-19.69,316,9.78,13.48,42,10,40.71,62.68,Genoa,serie a
11,2021,2020,11,224,51,65,17,38,54.39,60.61,-6.22,297,10.01,9.36,41,10,57.53,67.59,Bologna,serie a
12,2021,2020,13,186,47,59,16,38,41.63,53.52,-11.88,228,9.07,12.19,40,9,46.2,62.02,Fiorentina,serie a
13,2021,2020,10,221,42,58,18,38,45.19,45.72,-0.53,258,9.01,13.79,40,10,48.24,56.38,Udinese,serie a
14,2021,2020,12,202,52,72,17,38,44.09,62.87,-18.78,260,10.89,10.54,39,9,47.9,70.59,Spezia,serie a
15,2021,2020,10,214,43,59,19,38,41.79,61.46,-19.66,329,9.27,13.16,37,9,45.6,65.26,Cagliari,serie a
16,2021,2020,16,165,50,69,15,38,44.92,56.59,-11.67,261,8.8,10.86,37,7,49.6,64.22,Torino,serie a
17,2021,2020,12,205,40,75,19,38,33.18,66.57,-33.4,302,7.88,13.88,33,7,38.65,70.48,Benevento,serie a
18,2021,2020,5,164,45,92,27,38,32.79,73.68,-40.89,301,8.88,12.22,23,6,39.64,77.48,Crotone,serie a
19,2021,2020,11,171,39,83,24,38,39.17,64.41,-25.23,292,11.0,11.63,20,3,42.98,66.69,Parma Calcio 1913,serie a
0,2022,2021,8,301,69,31,4,38,61.16,30.82,30.33,184,11.09,8.86,86,26,67.34,34.63,AC Milan,serie a
1,2022,2021,9,408,84,32,4,38,81.79,36.83,44.96,186,16.57,10.1,84,25,90.38,39.88,Inter,serie a
2,2022,2021,7,351,74,31,7,38,52.91,33.64,19.27,210,14.5,9.86,79,24,63.64,34.4,Napoli,serie a
3,2022,2021,10,262,57,37,8,38,56.26,34.96,21.3,203,11.94,10.71,70,20,60.83,40.44,Juventus,serie a
4,2022,2021,10,316,77,58,10,38,52.44,45.44,6.99,217,15.11,11.92,64,18,59.29,50.1,Lazio,serie a
5,2022,2021,9,292,59,43,11,38,59.8,37.48,22.32,176,12.05,11.13,63,18,66.8,42.05,Roma,serie a
6,2022,2021,5,277,59,51,14,38,52.83,41.35,11.48,152,13.64,10.05,62,19,62.04,45.23,Fiorentina,serie a
7,2022,2021,11,391,65,48,11,38,64.15,42.03,22.12,182,12.74,8.43,59,16,68.72,46.6,Atalanta,serie a
8,2022,2021,11,298,65,59,13,38,50.3,48.87,1.43,204,8.58,8.79,53,14,56.39,52.04,Verona,serie a
9,2022,2021,11,190,46,41,14,38,49.19,32.74,16.45,178,11.24,7.68,50,13,53.75,41.11,Torino,serie a
10,2022,2021,11,268,64,66,14,38,54.03,63.11,-9.08,340,10.79,11.15,50,13,59.36,69.96,Sassuolo,serie a
11,2022,2021,14,258,61,58,13,38,54.13,48.59,5.54,256,7.95,12.65,47,11,57.17,54.01,Udinese,serie a
12,2022,2021,10,219,44,55,16,38,41.75,51.06,-9.32,257,9.23,10.59,46,12,45.55,58.05,Bologna,serie a
13,2022,2021,11,235,50,70,17,38,40.19,67.21,-27.02,373,9.43,9.72,41,10,45.52,74.82,Empoli,serie a
14,2022,2021,6,218,46,63,22,38,35.92,59.06,-23.14,290,9.4,11.18,36,10,39.09,62.11,Sampdoria,serie a
15,2022,2021,6,161,41,71,22,38,37.83,59.65,-21.82,347,8.44,13.32,36,10,41.65,69.55,Spezia,serie a
16,2022,2021,10,175,33,78,21,38,35.68,65.33,-29.64,351,7.11,14.57,31,7,39.49,71.42,Salernitana,serie a
17,2022,2021,12,179,34,68,20,38,37.7,60.74,-23.04,314,9.13,11.39,30,6,40.74,68.56,Cagliari,serie a
18,2022,2021,16,178,27,60,18,38,33.2,56.32,-23.11,320,7.63,9.52,28,4,38.53,60.12,Genoa,serie a
19,2022,2021,9,148,34,69,23,38,32.22,68.23,-36.01,385,8.43,12.96,27,6,36.16,77.36,Venezia,serie a
