,Year_end,Year_start,D,DC,G,GA,L,M,NPxG,NPxGA,NPxGD,ODC,OPPDA,PPDA,PTS,W,xG,xGA,Team,League
9,2016,2015,8,149,40,46,15,34,36.48,47.4,-10.92,208,7.29,8.57,41,11,38.75,51.19,Hamburger SV,bundesliga
10,2016,2015,10,164,33,42,14,34,33.43,42.79,-9.36,183,6.29,7.09,40,10,41.02,45.82,Ingolstadt,bundesliga
11,2016,2015,11,119,42,52,14,34,37.09,50.35,-13.26,249,9.13,10.39,38,9,42.39,55.65,Augsburg,bundesliga
12,2016,2015,8,247,50,65,16,34,43.3,47.25,-3.95,210,6.0,9.12,38,10,50.12,51.8,Werder Bremen,bundesliga
13,2016,2015,11,139,38,53,14,34,36.0,48.03,-12.03,269,4.07,11.68,38,9,39.03,51.06,Darmstadt,bundesliga
14,2016,2015,10,198,39,54,15,34,35.01,58.89,-23.88,292,8.04,9.77,37,9,39.55,60.41,Hoffenheim,bundesliga
15,2016,2015,9,170,34,52,16,34,31.43,50.52,-19.09,237,8.14,10.25,36,9,32.95,54.31,Eintracht Frankfurt,bundesliga
16,2016,2015,6,208,50,75,19,34,54.67,61.25,-6.58,229,8.53,8.48,33,9,57.7,65.06,VfB Stuttgart,bundesliga
17,2016,2015,4,134,31,62,23,34,30.16,58.27,-28.12,246,7.86,11.7,25,7,32.43,63.58,Hannover 96,bundesliga
0,2017,2016,7,433,89,22,2,34,70.12,24.77,45.35,133,18.57,6.22,82,25,73.91,27.04,Bayern Munich,bundesliga
1,2017,2016,7,251,66,39,7,34,52.06,36.27,15.79,171,9.03,6.98,67,20,55.09,40.06,RasenBallsport Leipzig,bundesliga
2,2017,2016,10,316,72,40,6,34,69.6,33.09,36.51,163,11.95,7.32,64,18,74.91,34.61,Borussia Dortmund,bundesliga
3,2017,2016,14,186,64,37,4,34,50.72,39.04,11.68,212,10.57,8.9,62,16,54.5,41.44,Hoffenheim,bundesliga
4,2017,2016,13,137,51,42,9,34,42.3,38.24,4.06,243,7.89,11.25,49,12,45.34,41.27,FC Cologne,bundesliga
5,2017,2016,4,166,43,47,15,34,34.36,45.6,-11.24,237,10.38,11.25,49,15,38.15,49.39,Hertha Berlin,bundesliga
6,2017,2016,6,186,42,60,14,34,33.22,50.07,-16.86,232,8.56,12.39,48,14,39.41,54.62,Freiburg,bundesliga
7,2017,2016,6,213,61,64,15,34,38.45,52.97,-14.52,236,7.16,11.72,45,13,42.99,60.55,Werder Bremen,bundesliga
8,2017,2016,9,211,45,49,13,34,42.78,40.65,2.13,218,11.66,10.49,45,12,45.82,44.44,Borussia M.Gladbach,bundesliga
9,2017,2016,10,182,45,40,13,34,41.82,36.21,5.62,211,10.04,8.87,43,11,44.86,43.87,Schalke 04,bundesliga
10,2017,2016,9,171,36,43,14,34,39.01,35.3,3.71,164,9.47,7.84,42,11,43.59,38.33,Eintracht Frankfurt,bundesliga
11,2017,2016,8,287,53,55,15,34,46.28,48.11,-1.82,173,9.12,7.69,41,11,53.1,50.38,Bayer Leverkusen,bundesliga
12,2017,2016,11,100,35,51,14,34,30.85,48.47,-17.62,248,7.68,10.84,38,9,33.88,52.26,Augsburg,bundesliga
13,2017,2016,8,164,33,61,16,34,30.31,51.07,-20.75,215,5.87,8.63,38,10,31.91,57.14,Hamburger SV,bundesliga
