,League,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Wins,Estimated_Draws,Estimated_Loses,Estimated_Points_Extended,Delta_Points_Extended
175,bundesliga,Hamburger SV,2014,2015,34,9,8,17,25,50,35,12.0,9.0,13.0,46.0,-11.0
176,bundesliga,Freiburg,2014,2015,34,7,13,14,36,47,34,15.0,8.0,11.0,53.0,-19.0
177,bundesliga,Paderborn,2014,2015,34,7,10,17,31,65,31,12.0,7.0,15.0,44.0,-13.0
178,bundesliga,Bayern Munich,2015,2016,34,28,4,2,80,17,88,24.0,9.0,1.0,81.0,7.0
179,bundesliga,Borussia Dortmund,2015,2016,34,24,6,4,82,34,78,21.0,7.0,6.0,70.0,8.0
180,bundesliga,Bayer Leverkusen,2015,2016,34,18,6,10,56,40,60,18.0,7.0,9.0,62.0,-2.0
181,bundesliga,Borussia M.Gladbach,2015,2016,34,17,4,13,67,50,55,18.0,6.0,10.0,60.0,-5.0
182,bundesliga,Schalke 04,2015,2016,34,15,7,12,51,49,52,16.0,7.0,11.0,57.0,-5.0
183,bundesliga,Mainz 05,2015,2016,34,14,8,12,46,42,50,17.0,8.0,9.0,58.0,-8.0
184,bundesliga,Hertha Berlin,2015,2016,34,14,8,12,42,42,50,16.0,8.0,10.0,57.0,-7.0
185,bundesliga,Wolfsburg,2015,2016,34,12,9,13,47,49,45,16.0,7.0,11.0,56.0,-11.0
186,bundesliga,FC Cologne,2015,2016,34,10,13,11,38,42,43,16.0,9.0,9.0,56.0,-13.0
187,bundesliga,Hamburger SV,2015,2016,34,11,8,15,40,46,41,15.0,8.0,11.0,55.0,-14.0
188,bundesliga,Ingolstadt,2015,2016,34,10,10,14,33,42,40,15.0,9.0,10.0,54.0,-14.0
189,bundesliga,Augsburg,2015,2016,34,9,11,14,42,52,38,15.0,7.0,12.0,53.0,-15.0
190,bundesliga,Werder Bremen,2015,2016,34,10,8,16,50,65,38,15.0,6.0,13.0,51.0,-13.0
191,bundesliga,Darmstadt,2015,2016,34,9,11,14,38,53,38,14.0,8.0,12.0,51.0,-13.0
192,bundesliga,Hoffenheim,2015,2016,34,9,10,15,39,54,37,14.0,7.0,13.0,51.0,-14.0
193,bundesliga,Eintracht Frankfurt,2015,2016,34,9,9,16,34,52,36,14.0,8.0,12.0,50.0,-14.0
194,bundesliga,VfB Stuttgart,2015,2016,34,9,6,19,50,75,33,14.0,6.0,14.0,48.0,-15.0
195,bundesliga,Hannover 96,2015,2016,34,7,4,23,31,62,25,12.0,8.0,14.0,45.0,-20.0
196,bundesliga,Bayern Munich,2016,2017,34,25,7,2,89,22,82,23.0,7.0,4.0,78.0,4.0
197,bundesliga,RasenBallsport Leipzig,2016,2017,34,20,7,7,66,39,67,19.0,7.0,8.0,64.0,3.0
198,bundesliga,Borussia Dortmund,2016,2017,34,18,10,6,72,40,64,19.0,6.0,9.0,65.0,-1.0
199,bundesliga,Hoffenheim,2016,2017,34,16,14,4,64,37,62,19.0,7.0,8.0,65.0,-3.0
200,bundesliga,FC Cologne,2016,2017,34,12,13,9,51,42,49,17.0,7.0,10.0,60.0,-11.0
201,bundesliga,Hertha Berlin,2016,2017,34,15,4,15,43,47,49,16.0,8.0,10.0,55.0,-6.0
202,bundesliga,Freiburg,2016,2017,34,14,6,14,42,60,48,14.0,7.0,13.0,50.0,-2.0
203,bundesliga,Werder Bremen,2016,2017,34,13,6,15,61,64,45,16.0,6.0,12.0,54.0,-9.0
204,bundesliga,Borussia M.Gladbach,2016,2017,34,12,9,13,45,49,45,16.0,7.0,11.0,55.0,-10.0
205,bundesliga,Schalke 04,2016,2017,34,11,10,13,45,40,43,17.0,8.0,9.0,58.0,-15.0
206,bundesliga,Eintracht Frankfurt,2016,2017,34,11,9,14,36,43,42,15.0,9.0,10.0,55.0,-13.0
207,bundesliga,Bayer Leverkusen,2016,2017,34,11,8,15,53,55,41,16.0,7.0,11.0,55.0,-14.0
208,bundesliga,Augsburg,2016,2017,34,9,11,14,35,51,38,14.0,8.0,12.0,51.0,-13.0
209,bundesliga,Hamburger SV,2016,2017,34,10,8,16,33,61,38,13.0,8.0,13.0,46.0,-8.0
210,bundesliga,Mainz 05,2016,2017,34,10,7,17,44,55,37,15.0,7.0,12.0,52.0,-15.0
211,bundesliga,Wolfsburg,2016,2017,34,10,7,17,34,52,37,14.0,8.0,12.0,50.0,-13.0
212,bundesliga,Ingolstadt,2016,2017,34,8,8,18,36,57,32,14.0,8.0,12.0,49.0,-17.0
213,bundesliga,Darmstadt,2016,2017,34,7,4,23,28,63,25,12.0,8.0,14.0,44.0,-19.0
214,bundesliga,Bayern Munich,2017,2018,34,27,3,4,92,28,84,22.0,7.0,5.0,74.0,10.0
215,bundesliga,Schalke 04,2017,2018,34,18,9,7,53,37,63,18.0,8.0,8.0,63.0,0.0
216,bundesliga,Hoffenheim,2017,2018,34,15,10,9,66,48,55,18.0,6.0,10.0,60.0,-5.0
217,bundesliga,Borussia Dortmund,2017,2018,34,15,10,9,64,47,55,18.0,6.0,10.0,61.0,-6.0
218,bundesliga,Bayer Leverkusen,2017,2018,34,15,10,9,58,44,55,18.0,7.0,9.0,60.0,-5.0
219,bundesliga,RasenBallsport Leipzig,2017,2018,34,15,8,11,57,53,53,17.0,6.0,11.0,57.0,-4.0
220,bundesliga,VfB Stuttgart,2017,2018,34,15,6,13,36,36,51,16.0,9.0,9.0,58.0,-7.0
221,bundesliga,Eintracht Frankfurt,2017,2018,34,14,7,13,45,45,49,16.0,8.0,10.0,57.0,-8.0
222,bundesliga,Borussia M.Gladbach,2017,2018,34,13,8,13,47,52,47,16.0,7.0,11.0,54.0,-7.0
223,bundesliga,Hertha Berlin,2017,2018,34,10,13,11,43,46,43,16.0,8.0,10.0,56.0,-13.0
224,bundesliga,Werder Bremen,2017,2018,34,10,12,12,37,40,42,16.0,9.0,9.0,56.0,-14.0
225,bundesliga,Augsburg,2017,2018,34,10,11,13,43,46,41,16.0,8.0,10.0,56.0,-15.0
226,bundesliga,Hannover 96,2017,2018,34,10,9,15,44,54,39,15.0,7.0,12.0,53.0,-14.0
227,bundesliga,Mainz 05,2017,2018,34,9,9,16,38,52,36,14.0,8.0,12.0,51.0,-15.0
228,bundesliga,Freiburg,2017,2018,34,8,12,14,32,56,36,13.0,8.0,13.0,48.0,-12.0
229,bundesliga,Wolfsburg,2017,2018,34,6,15,13,36,48,33,15.0,8.0,11.0,52.0,-19.0
230,bundesliga,Hamburger SV,2017,2018,34,8,7,19,29,53,31,13.0,9.0,12.0,47.0,-16.0
231,bundesliga,FC Cologne,2017,2018,34,5,7,22,35,70,22,12.0,7.0,15.0,45.0,-23.0
232,bundesliga,Bayern Munich,2018,2019,34,24,6,4,88,32,78,22.0,6.0,6.0,72.0,6.0
233,bundesliga,Borussia Dortmund,2018,2019,34,23,7,4,81,44,76,20.0,6.0,8.0,65.0,11.0
234,bundesliga,RasenBallsport Leipzig,2018,2019,34,19,9,6,63,29,66,20.0,8.0,6.0,70.0,-4.0
235,bundesliga,Bayer Leverkusen,2018,2019,34,18,4,12,69,52,58,18.0,6.0,10.0,60.0,-2.0
236,bundesliga,Borussia M.Gladbach,2018,2019,34,16,7,11,55,42,55,18.0,7.0,9.0,61.0,-6.0
237,bundesliga,Wolfsburg,2018,2019,34,16,7,11,62,50,55,17.0,6.0,11.0,59.0,-4.0
238,bundesliga,Eintracht Frankfurt,2018,2019,34,15,9,10,60,48,54,17.0,7.0,10.0,59.0,-5.0
239,bundesliga,Werder Bremen,2018,2019,34,14,11,9,58,49,53,17.0,7.0,10.0,59.0,-6.0
240,bundesliga,Hoffenheim,2018,2019,34,13,12,9,70,52,51,18.0,6.0,10.0,60.0,-9.0
241,bundesliga,Fortuna Duesseldorf,2018,2019,34,13,5,16,49,65,44,14.0,6.0,14.0,50.0,-6.0
242,bundesliga,Hertha Berlin,2018,2019,34,11,10,13,49,57,43,15.0,7.0,12.0,53.0,-10.0
243,bundesliga,Mainz 05,2018,2019,34,12,7,15,46,57,43,15.0,7.0,12.0,52.0,-9.0
244,bundesliga,Freiburg,2018,2019,34,8,12,14,46,61,36,15.0,7.0,12.0,51.0,-15.0
245,bundesliga,Schalke 04,2018,2019,34,8,9,17,37,55,33,14.0,8.0,12.0,50.0,-17.0
246,bundesliga,Augsburg,2018,2019,34,8,8,18,51,71,32,14.0,6.0,14.0,50.0,-18.0
247,bundesliga,VfB Stuttgart,2018,2019,34,7,7,20,32,70,28,12.0,7.0,15.0,44.0,-16.0
248,bundesliga,Hannover 96,2018,2019,34,5,6,23,31,71,21,12.0,7.0,15.0,43.0,-22.0
249,bundesliga,Nuernberg,2018,2019,34,3,10,21,26,68,19,11.0,8.0,15.0,41.0,-22.0
250,bundesliga,Bayern Munich,2019,2020,34,26,4,4,100,32,82,22.0,6.0,6.0,73.0,9.0
251,bundesliga,Borussia Dortmund,2019,2020,34,21,6,7,84,41,69,20.0,6.0,8.0,67.0,2.0
