,Test points,name,Decision tree points,Random forest points,XGBoost points,Polynomial points
701,5.99,Lorenzo Insigne,6.0805,6.116050000000002,5.969235,5.98398583466023
702,6.06,Jorginho,6.0805,6.258499999999998,6.221342,6.074512957071336
703,6.7,Piotr Zielinski,6.574358974358975,6.566399999999998,6.5661187,6.740106290112585
704,7.07,Luigi Sepe,6.965294117647057,6.756900000000002,6.8149805,7.14049660259454
705,6.39,Vlad Chiriches,6.275555555555554,6.3849,6.5071945,6.298866716531071
706,6.56,Elseid Hysaj,6.678750000000001,6.678500000000001,6.6648974,6.594443126191864
707,6.89,Nikola Maksimovic,6.978035714285714,7.015199999999997,6.9731016,6.83463239487583
708,6.73,Marko Rog,6.4750847457627145,6.614800000000002,6.6154013,6.816968586291502
709,6.64,Christian Maggio,6.614069767441865,6.624500000000003,6.6296077,6.563846444869743
710,7.79,Adam Ounas,7.645384615384617,7.644000000000001,7.789922,7.775276627301253
711,7.63,Gianluca Gaetano,7.247066666666666,7.284,7.27719,7.461927529746175
712,6.48,Raúl Albiol,6.433763440860214,6.5184999999999995,6.6406426,6.69040556587102
713,6.81,Kalidou Koulibaly,6.965294117647057,6.882599999999997,6.924981,6.7643087936858235
714,6.97,Elseid Hysaj,6.965294117647057,6.908,6.9179144,6.9874339133512
715,7.53,Piotr Zielinski,7.4399999999999995,7.796499999999998,7.9844165,7.530944939571712
716,6.65,Dries Mertens,6.614069767441865,6.663799999999998,6.7155957,6.820723889214581
717,6.67,Amin Younes,6.971944444444444,6.8248,6.731782,6.806071405620374
718,5.86,Faouzi Ghoulam,6.426,6.566400000000004,6.5342317,6.159188592282901
719,6.43,Arkadiusz Milik,6.4750847457627145,6.4343,6.4107137,6.495564806177728
720,6.85,José Callejón,6.808219178082192,6.8442,6.8655725,6.382274270467611
721,6.56,Mário Rui,6.4750847457627145,6.570099999999999,6.519065,6.297937528602226
722,6.61,Lorenzo Insigne,6.965294117647057,6.875099999999999,6.8613,6.517221107757121
723,7.15,Marko Rog,6.784204545454545,6.9483999999999995,6.862486,7.1200627484342744
724,6.76,Kevin Malcuit,6.982622950819672,6.906899999999999,6.894219,6.6838479804367275
725,6.4,Simone Verdi,6.690952380952379,6.801100000000003,6.817538,6.522501204055785
726,7.12,David Ospina,6.433763440860214,6.545200000000001,6.559457,7.1310887574223685
727,6.9,Orestis Karnezis,6.875714285714286,6.9090000000000025,6.9392433,6.841035983350609
728,6.91,Nikola Maksimovic,6.781315789473686,6.7631,6.9141364,7.104348517443757
729,7.49,Allan,7.1925,7.130499999999997,7.247699,7.513208492225809
730,7.54,Adam Ounas,7.400799999999999,7.351499999999998,7.462213,7.521684226768031
731,7.13,Marek Hamsik,6.917692307692308,7.0631,7.089267,7.083448623896868
732,6.72,Vlad Chiriches,6.808219178082192,6.832200000000004,6.8583775,6.699956723210031
733,6.81,Alex Meret,6.900476190476192,6.806700000000001,6.763988,6.692674216605406
734,7.1,Sebastiano Luperto,6.917692307692308,7.056200000000002,7.0359197,7.2607128950301885
735,6.79,Amadou Diawara,6.574358974358975,6.8043000000000005,6.808632,6.717506105143815
736,6.15,Elseid Hysaj,6.203333333333334,6.142600000000005,6.1365013,6.186599934875758
737,6.92,Giovanni Di Lorenzo,6.692588235294114,6.883200000000001,6.858173,7.037380206407359
738,6.7,Allan,7.008888888888889,6.895000000000001,6.771672,6.403163510021064
739,6.53,Nikola Maksimovic,6.203333333333334,6.389999999999997,6.4299703,6.679951959397995
740,6.97,Lorenzo Insigne,6.860833333333333,6.985800000000004,6.942529,6.997517768218495
741,6.58,Kostas Manolas,6.717297297297297,6.649,6.5736327,6.964802726901822
742,6.71,Dries Mertens,6.614069767441865,6.617799999999999,6.6832643,6.579876619257541
743,6.59,José Callejón,6.275555555555554,6.389500000000003,6.3847284,6.5973728504053355
744,6.68,Arkadiusz Milik,6.991470588235295,6.774099999999997,6.72777,6.753347470535587
745,6.35,Piotr Zielinski,6.614069767441865,6.474899999999999,6.457902,6.289334308014772
746,6.61,Diego Demme,6.787166666666666,6.789300000000001,6.73655,6.619719723656938
747,6.8,Alex Meret,6.992183908045976,7.042399999999998,7.0825977,6.897161029978585
748,7.02,David Ospina,6.971944444444444,7.0230999999999995,6.9980206,7.238684674901531
749,7.19,Hirving Lozano,6.965294117647057,6.963400000000002,7.0322094,7.1491246266984945
750,6.18,Mário Rui,6.688461538461539,6.403099999999999,6.290416,6.186176121403953
751,6.22,Kevin Malcuit,6.3625,6.248600000000002,6.246394,6.123235180632583
752,7.02,Fernando Llorente,7.138260869565219,7.0991999999999935,7.023172,6.7305596232375855
753,6.43,Amin Younes,6.692588235294114,6.648899999999998,6.661166,6.318976125858383
754,7.4,Faouzi Ghoulam,7.2165384615384625,7.316599999999995,7.2759776,7.419707420785427
755,5.97,Stanislav Lobotka,6.0805,6.133399999999998,6.0961947,6.105362998293045
756,6.34,Sebastiano Luperto,6.798000000000001,6.751400000000001,6.7547154,6.422837373996286
757,6.71,Eljif Elmas,6.690952380952379,6.651300000000003,6.575054,6.9706106827482435
758,6.55,Kalidou Koulibaly,6.581626016260165,6.607,6.591329,6.478494917144436
759,6.39,David Ospina,6.4750847457627145,6.508099999999997,6.5624146,6.172977923030776
760,6.31,Antonio Cioffi,6.426938775510205,6.370900000000003,6.397108,6.243702162820519
761,7.01,Piotr Zielinski,7.2165384615384625,7.222800000000006,7.1204944,6.941582396717908
762,6.26,Lorenzo Insigne,6.1739622641509415,6.196949999999999,6.1878686,6.224719392312636
763,6.17,Dries Mertens,6.426938775510205,6.240200000000002,6.227926,6.069942944375432
764,5.6,Amir Rrahmani,6.381315789473682,6.243300000000001,6.257641,5.573940487853874
765,6.68,Giovanni Di Lorenzo,6.678750000000001,6.854199999999994,6.81167,6.867095762433604
766,5.97,Hirving Lozano,6.0805,6.059408333333328,6.057047,5.982430541629625
767,6.94,Diego Demme,6.678750000000001,6.625400000000003,6.650089,6.803356111580611
768,6.99,Elseid Hysaj,7.369,6.997799999999997,7.0216174,6.90790127224961
769,6.25,Matteo Politano,6.1739622641509415,6.154099999999997,6.1942954,6.226712034657381
770,6.65,Tiemoué Bakayoko,6.574358974358975,6.642100000000002,6.7737355,6.5925434464393655
771,5.41,Alex Meret,6.782916666666668,6.733200000000007,6.637001,5.512397802202584
772,6.91,Victor Osimhen,6.614069767441865,6.598599999999999,6.690592,6.951882598724565
773,6.52,Mário Rui,6.7822499999999994,6.8049,6.7286367,6.375041552515505
774,6.26,Andrea Petagna,6.426938775510205,6.5123000000000015,6.5037947,6.370812785903771
775,6.62,Nikola Maksimovic,6.574358974358975,6.4374999999999964,6.3843956,6.8582330211536595
776,7.09,Eljif Elmas,6.678750000000001,6.702599999999998,6.7234693,7.104675281506657
777,6.66,Kostas Manolas,6.784204545454545,6.878000000000001,6.8957195,6.498322570676349
778,7.0,Stanislav Lobotka,6.995151515151516,6.876000000000001,6.8162847,7.043587919111807
779,7.01,Faouzi Ghoulam,6.0805,6.110600000000001,6.224137,7.147563325167126
780,6.71,Kalidou Koulibaly,6.845909090909092,6.7352000000000025,6.707605,6.75549931992558
781,6.52,Morgan De Sanctis,6.581626016260165,6.549099999999999,6.5405912,6.509285280852479
782,6.12,Mapou Yanga-Mbiwa,6.203333333333334,6.150800000000003,6.177833,6.056428919992455
783,6.28,Leandro Paredes,6.1739622641509415,6.1656,6.256868,6.371329879526043
784,7.06,José Holebas,6.574358974358975,6.7148,6.938774,7.164058363684259
785,6.88,Alessandro Florenzi,6.971944444444444,7.043599999999998,6.9936414,6.93675663769921
786,6.72,Adem Ljajic,6.982622950819672,6.9815,6.984393,6.523704080757663
787,7.16,Francesco Totti,6.982622950819672,6.983800000000006,7.0360274,7.216399667270978
788,6.47,Lorenzo Pellegrini,6.574358974358975,6.575299999999996,6.573167,6.425941749344179
789,6.84,Seydou Keita,6.992183908045976,7.012399999999997,7.0286403,6.718763198543208
790,7.29,Gervinho,7.155526315789473,7.194499999999998,7.289744,7.325191633171319
791,6.69,Maicon,6.690952380952379,6.610399999999999,6.5149007,6.546921646653842
792,6.91,Federico Balzaretti,6.614069767441865,6.663200000000004,6.627861,6.832511758038237
793,6.53,Nicolás Spolli,6.433763440860214,6.5165,6.412741,6.449255930301362
794,6.6,Vasilis Torosidis,6.733636363636363,6.696999999999998,6.7383256,6.70716975921987
795,6.06,Ashley Cole,6.3625,6.241699999999998,6.2154174,6.025642047831555
796,6.93,Seydou Doumbia,7.056964285714285,7.1124,7.0975103,6.902692539404387
797,7.12,Davide Astori,6.787166666666666,6.873300000000001,6.9067993,7.106842584510153
798,7.45,Lukasz Skorupski,6.787166666666666,6.8948,7.080175,7.671573975742243
799,6.71,Kevin Strootman,6.433763440860214,6.618899999999999,6.4532137,6.560932754051356
800,7.08,Juan Iturbe,6.995151515151516,7.0303,6.9872746,7.214756552466214
801,7.34,Miralem Pjanic,7.008888888888889,7.045499999999999,7.1168585,7.557686558195865
802,7.39,Daniele Verde,7.056964285714285,7.1019,6.9836164,7.410102505668154
803,7.2,Antonio Sanabria,6.965294117647057,7.1156000000000015,7.104889,7.143690038412588
804,6.92,Radja Nainggolan,6.688461538461539,6.658399999999997,6.7356257,6.904135926648074
805,6.95,Daniele De Rossi,6.900476190476192,7.064300000000002,7.012405,6.9258558475389025
806,7.07,Kostas Manolas,6.965294117647057,7.001999999999998,7.05766,7.084719681298441
807,6.96,Marco Tumminello,6.784204545454545,6.931000000000006,6.8736014,7.042114455045641
808,6.95,Lucas Digne,6.965294117647057,6.893900000000005,7.0242815,7.333978385269713
809,7.48,Alessandro Florenzi,7.008888888888889,7.0613,7.2154984,7.547235223984669
810,6.56,Stephan El Shaarawy,6.614069767441865,6.567799999999998,6.5032988,6.694612191515002
811,7.57,Kostas Manolas,7.645384615384617,7.589899999999999,7.6534076,7.54277967579157
812,7.05,Daniele De Rossi,6.978035714285714,6.904599999999999,6.887205,7.208695985827788
813,7.65,Gervinho,7.4399999999999995,7.549999999999999,7.6345387,7.623397288603862
814,6.54,Mohamed Salah,6.581626016260165,6.651299999999997,6.595017,6.5528829980067105
815,6.08,Francesco Totti,6.782916666666668,7.135900000000009,6.702221,6.151511682186352
816,6.6,William Vainqueur,6.798059701492538,6.798499999999993,6.796312,6.497024993855844
817,6.44,Iago Falque,6.433763440860214,6.450299999999999,6.4205685,6.652435306866309
818,6.03,Miralem Pjanic,6.0805,5.880299999999992,5.986485,5.945564958468039
819,6.51,Antonio Rüdiger,6.433763440860214,6.507700000000001,6.5068097,6.490579311690082
820,6.79,Lorenzo Di Livio,6.978035714285714,7.0729999999999995,6.971611,6.6564855872278965
821,6.63,Maicon,6.787166666666666,6.732999999999997,6.673362,6.467204910846187
822,7.07,Emerson,6.965294117647057,7.087799999999999,7.138234,7.179716338481924
823,6.62,Wojciech Szczesny,6.982622950819672,6.925200000000001,6.927267,6.717224103118854
824,6.01,Umar Sadiq,6.203333333333334,6.046500000000002,6.074646,5.963427668582837
825,7.85,Kevin Strootman,8.048181818181815,7.864400000000005,7.825767,7.852464757539532
826,6.66,Edin Dzeko,6.676818181818181,6.858700000000002,6.9322844,6.711383521545927
827,6.12,Morgan De Sanctis,6.426938775510205,6.5519,6.5324874,6.172784924919882
828,6.82,Juan Iturbe,6.917692307692308,6.897700000000003,6.899576,7.038021349353701
829,6.81,Seydou Keita,7.138260869565219,7.0646,7.0241895,6.87451120573349
830,7.09,Norbert Gyömbér,6.8496969696969705,6.952500000000002,7.023379,7.07626712926582
831,6.96,Radja Nainggolan,6.808219178082192,7.0067999999999975,6.999261,6.980265434343327
832,6.63,Vasilis Torosidis,6.875714285714286,6.730199999999997,6.6344905,6.590556483527413
833,6.97,Daniele De Rossi,7.155526315789473,7.1121000000000025,7.0738406,6.974349590852473
834,7.05,Kostas Manolas,6.692588235294114,6.666099999999999,6.741307,7.178963994554469
835,6.64,Leandro Paredes,6.581626016260165,6.616600000000003,6.597696,7.0129082091022035
836,6.98,Federico Fazio,6.609148936170212,6.756,6.6552105,7.001423963479553
837,6.86,Radja Nainggolan,6.678750000000001,6.765599999999995,6.8354163,6.726955964222085
838,6.33,Mohamed Salah,6.614069767441865,6.528199999999998,6.4910116,6.296699656809842
839,6.84,Bruno Peres,6.917692307692308,6.907399999999999,6.876514,6.721623721721365
840,6.63,Edin Dzeko,6.4750847457627145,6.4951000000000025,6.4818025,6.437084654187995
841,7.07,Alessandro Florenzi,6.992183908045976,7.084899999999994,7.1377573,7.085165088445165
842,6.26,Stephan El Shaarawy,6.614069767441865,6.4686,6.403525,6.186309309918437
843,6.98,Wojciech Szczesny,6.823809523809524,6.9341,6.824434,7.1451714909931106
844,7.05,Emerson,6.965294117647057,7.087000000000004,7.0762944,7.011302528741059
845,6.05,Diego Perotti,6.1739622641509415,6.260999999999998,6.3542786,6.032444483593585
846,6.63,Kevin Strootman,6.692588235294114,6.801099999999998,6.7800217,6.332630842304129
847,6.53,Mário Rui,6.581626016260165,6.613900000000004,6.517483,6.49378917464153
848,6.43,Antonio Rüdiger,7.008888888888889,6.882500000000006,6.8250723,6.414053604762105
849,6.1,Francesco Totti,6.0805,6.138800000000001,6.114165,6.13160052301309
850,7.05,Thomas Vermaelen,6.614069767441865,6.663299999999997,6.6483345,6.945345441940657
851,6.92,Gerson,6.875714285714286,6.909000000000001,6.9436226,6.884840839404763
852,6.75,Clément Grenier,6.798000000000001,6.829,6.653174,6.967622035548688
853,6.81,Juan Jesus,7.047272727272728,7.093799999999998,7.0051,6.761271269868516
854,6.96,Emerson,6.965294117647057,7.041399999999999,6.9945645,6.780460272570728
855,7.24,Aleksandar Kolarov,6.995151515151516,6.908800000000003,6.958554,7.242154449150452
856,7.21,Diego Perotti,6.860833333333333,6.878799999999999,6.730946,7.148055566017589
857,7.27,Kostas Manolas,7.056964285714285,7.1622,7.1739364,7.241084374490726
858,6.98,Alessandro Florenzi,6.798000000000001,6.823,6.7519484,6.9902764097391445
859,7.4,Cengiz Ünder,6.965294117647057,6.873899999999997,6.981931,7.314452095675457
860,6.33,Edin Dzeko,6.688461538461539,6.625200000000001,6.546248,6.434123794223863
861,7.27,Stephan El Shaarawy,6.978035714285714,7.039799999999999,7.024734,7.383217414231507
862,6.0,Mirko Antonucci,6.0805,6.0395999999999965,6.071464,5.904644799843424
863,7.02,Federico Fazio,6.971944444444444,6.937100000000002,6.915566,7.093586216446584
864,6.28,Daniele De Rossi,6.275555555555554,6.337199999999999,6.349749,6.235402849866603
865,6.53,Gerson,6.426938775510205,6.351999999999999,6.482251,6.716765150181008
866,6.73,Rick Karsdorp,7.038000000000001,6.875199999999996,6.889887,6.709064305171909
867,7.57,Alisson,7.2165384615384625,7.151499999999999,7.2561483,7.707025080568865
868,6.04,Lorenzo Pellegrini,6.0805,6.014200000000004,6.0270023,5.991985389982388
869,6.1,Radja Nainggolan,6.381315789473682,6.147999999999999,6.015219,5.980168226858765
870,6.37,Lukasz Skorupski,6.203333333333334,6.215800000000004,6.1489177,6.386359670713503
871,6.91,Maxime Gonalons,6.992183908045976,6.991099999999997,7.0089097,7.048832301541564
872,7.04,Patrik Schick,6.917692307692308,7.066599999999998,7.050615,7.083416199504043
873,7.29,Jonathan Silva,7.2165384615384625,7.229100000000002,7.337228,7.327776369529858
874,6.94,Gregoire Defrel,6.845909090909092,6.817199999999997,6.8712153,6.936260745899856
875,6.78,Bruno Peres,6.808219178082192,6.713299999999997,6.7516613,6.745696489383275
876,6.36,Héctor Moreno,6.203333333333334,6.300900000000005,6.22383,6.315778814882153
877,7.01,Elio Capradossi,6.978035714285714,7.0177999999999985,7.014379,6.8473175804967745
878,6.45,Kevin Strootman,6.275555555555554,6.263600000000001,6.3779736,6.389991066132027
879,7.0,Juan Jesus,6.784204545454545,6.835400000000005,6.756165,6.973631154753743
880,6.69,Zan Celar,6.861333333333332,6.778999999999999,6.779964,6.606710865585528
881,6.78,Diego Perotti,6.900476190476192,6.910100000000001,6.8908825,6.675030145404475
